"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","09-SEP-2026","06-OCT-2026","XO","1.50","1.50","1.47","0.01","1.49","5.00","0.01","1,350","2,015.45","8"
"TCS","09-SEP-2026","03-NOV-2026","XN","1.00","1.00","1.00","0.50","1.00","2.95","0.45","700","700.00","4"
"TCS","07-SEP-2026","06-OCT-2026","XO","0.01","0.01","0.01","0.50","0.01","5.00","0.01","127","1.27","1"
"TCS","03-SEP-2026","06-OCT-2026","XO","0.50","0.50","0.50","0.50","0.50","5.00","0.01","52","26.00","1"
"TCS","03-SEP-2026","07-SEP-2027","X9","1.00","1.00","1.00","0.99","1.00","4.90","0.01","1","1.00","1"
"TCS","03-SEP-2026","06-APR-2027","X4","0.50","0.50","0.50","1.00","0.50","1.50","0.01","16","8.00","1"
"TCS","02-SEP-2026","06-OCT-2026","XO","0.01","0.50","0.01","4.50","0.50","5.00","0.01","68","3.13","3"
"TCS","02-SEP-2026","06-JUL-2027","X7","1.00","1.00","1.00","1.00","1.00","44.57","0.02","194","194.00","1"
"TCS","01-SEP-2026","06-JUL-2027","X7","1.00","1.00","1.00","1.00","1.00","44.57","0.02","5","5.00","1"
"TCS","01-SEP-2026","06-OCT-2026","XO","0.01","4.90","0.01","3.00","4.50","5.00","0.01","18,335","63,186.18","41"
"TCS","31-AUG-2026","06-JUL-2027","X7","1.00","1.00","1.00","5.00","1.00","44.57","0.02","3","3.00","1"
"TCS","31-AUG-2026","06-OCT-2026","XO","1.91","5.00","1.91","1.00","3.00","5.00","0.11","53,050","2,07,932.08","115"
"TCS","28-AUG-2026","06-OCT-2026","XO","1.00","1.00","1.00","1.00","1.00","2.50","0.11","45","45.00","1"
"TCS","27-AUG-2026","06-OCT-2026","XO","1.00","1.00","1.00","1.00","1.00","2.50","0.11","3,820","3,820.00","4"
"TCS","26-AUG-2026","06-OCT-2026","XO","1.00","1.00","1.00","2.43","1.00","2.50","0.11","1,205","1,205.00","7"
"TCS","26-AUG-2026","01-SEP-2026","S1","1.00","1.00","1.00","1.00","1.00","2.00","0.50","23,555","23,555.00","37"
"TCS","25-AUG-2026","06-OCT-2026","XO","0.11","2.50","0.11","2.39","2.43","2.50","0.11","62,182","64,935.92","14"
"TCS","25-AUG-2026","01-SEP-2026","S1","1.00","1.25","1.00","1.30","1.00","2.00","0.50","62,717","74,506.30","81"
"TCS","24-AUG-2026","06-OCT-2026","XO","2.39","2.50","1.60","0.50","2.39","2.50","0.30","1,70,475","2,88,815.28","466"
"TCS","24-AUG-2026","01-SEP-2026","S1","0.94","2.00","0.50","1.15","1.30","2.00","0.50","1,41,064","2,09,328.15","391"
"TCS","22-AUG-2026","01-SEP-2026","X9","150.00","150.00","150.00","0.99","150.00","150.00","0.01","100","15,000.00","1"
"TCS","21-AUG-2026","06-OCT-2026","XO","0.50","0.50","0.50","1.00","0.50","2.50","0.30","1","0.50","1"
"TCS","20-AUG-2026","06-APR-2027","X4","1.00","1.00","1.00","0.99","1.00","1.50","0.01","2","2.00","1"
"TCS","20-AUG-2026","06-OCT-2026","XO","2.49","2.50","1.00","0.30","1.00","2.50","0.30","340","676.50","4"
